player_id,source_player_name,source,signal,source_url,published_at,retrieved_at,expires_at
1,Raya,fabrizio_romano,no current exit transfer signal identified in governed review,https://t.me/s/fabrizioromanotg,2026-08-20T06:50:00Z,2026-08-20T06:50:00Z,2026-08-21T17:30:00Z
4,Gabriel,fabrizio_romano,no current exit transfer signal identified in governed review,https://t.me/s/fabrizioromanotg,2026-08-20T06:50:00Z,2026-08-20T06:50:00Z,2026-08-21T17:30:00Z
94,Schade,fabrizio_romano,no current exit transfer signal identified in governed review,https://t.me/s/fabrizioromanotg,2026-08-20T06:50:00Z,2026-08-20T06:50:00Z,2026-08-21T17:30:00Z
106,Thiago,fabrizio_romano,no current exit transfer signal identified in governed review,https://t.me/s/fabrizioromanotg,2026-08-20T06:50:00Z,2026-08-20T06:50:00Z,2026-08-21T17:30:00Z
109,Verbruggen,fabrizio_romano,no current exit transfer signal identified in governed review,https://t.me/s/fabrizioromanotg,2026-08-20T06:50:00Z,2026-08-20T06:50:00Z,2026-08-21T17:30:00Z
130,Wieffer,fabrizio_romano,no current exit transfer signal identified in governed review,https://t.me/s/fabrizioromanotg,2026-08-20T06:50:00Z,2026-08-20T06:50:00Z,2026-08-21T17:30:00Z
165,João Pedro,fabrizio_romano,current-club contract renewal and described as untouchable after outside approaches were rejected,https://t.me/s/fabrizioromanotg?after=63912,2026-08-01T14:13:00Z,2026-08-20T06:50:00Z,2026-08-21T17:30:00Z
212,Hughes,fabrizio_romano,no current exit transfer signal identified in governed review,https://t.me/s/fabrizioromanotg,2026-08-20T06:50:00Z,2026-08-20T06:50:00Z,2026-08-21T17:30:00Z
280,Coyle,fabrizio_romano,no current exit transfer signal identified in governed review,https://t.me/s/fabrizioromanotg,2026-08-20T06:50:00Z,2026-08-20T06:50:00Z,2026-08-21T17:30:00Z
289,Crooks,fabrizio_romano,no current exit transfer signal identified in governed review,https://t.me/s/fabrizioromanotg,2026-08-20T06:50:00Z,2026-08-20T06:50:00Z,2026-08-21T17:30:00Z
367,Gakpo,fabrizio_romano,in talks with Tottenham; player-side terms reported clear but move still depends on club financial agreement,https://t.me/s/FabrizioRomanoTG?after=64646,2026-08-15T14:28:00Z,2026-08-20T06:50:00Z,2026-08-21T17:30:00Z
388,Guéhi,fabrizio_romano,no current exit transfer signal identified after completed Manchester City move,https://t.me/s/fabrizioromanotg,2026-08-20T06:50:00Z,2026-08-20T06:50:00Z,2026-08-21T17:30:00Z
391,Gvardiol,fabrizio_romano,no current exit transfer signal identified in governed review,https://t.me/s/fabrizioromanotg,2026-08-20T06:50:00Z,2026-08-20T06:50:00Z,2026-08-21T17:30:00Z
411,Haaland,fabrizio_romano,no current exit transfer signal identified in governed review,https://t.me/s/fabrizioromanotg,2026-08-20T06:50:00Z,2026-08-20T06:50:00Z,2026-08-21T17:30:00Z
427,Mbeumo,fabrizio_romano,no current exit transfer signal identified in governed review,https://t.me/s/fabrizioromanotg,2026-08-20T06:50:00Z,2026-08-20T06:50:00Z,2026-08-21T17:30:00Z
